ATP5J2-PTCD1	G3V325
NBR1	Q14596
INPP5A	Q14642
TMEM187	Q14656
LAGE3	Q14657
KIAA0100	Q14667
TRIP12	Q14669
PUM1	Q14671
MDC1	Q14676
CLINT1	Q14677
SMC1A	Q14683
NCOA6	Q14686
BMS1	Q14692
LPIN1	Q14693
USP10	Q14694
GANAB	Q14697
MBTPS1	Q14703
PPP2R5D	Q14738
COG2	Q14746
GOLGB1	Q14789
CHD4	Q14839
STARD3	Q14849
DRAP1	Q14919
ZNF638	Q14966
KPNB1	Q14974
NOLC1	Q14978
GAPVD1	Q14C86
ATXN7L3	Q14CW9
C16orf72	Q14CZ0
EMC2	Q15006
WTAP	Q15007
PSMD6	Q15008
HERPUD1	Q15011
LAPTM4A	Q15012
MAD2L1BP	Q15013
MORF4L2	Q15014
FAM175B	Q15018
SART3	Q15020
SUZ12	Q15022
EXOSC7	Q15024
TNIP1	Q15025
EFTUD2	Q15029
LARS2	Q15031
SNX17	Q15036
RAB3GAP1	Q15042
KARS	Q15046
SETDB1	Q15047
LRRC14	Q15048
RRS1	Q15050
EIF4H	Q15056
WDR43	Q15061
ACOX1	Q15067
OXA1L	Q15070
ZNF146	Q15072
PDK2	Q15119
PMVK	Q15126
PCM1	Q15154
PPP2R5A	Q15172
PPP2R5B	Q15173
PPA1	Q15181
PTGES3	Q15185
NONO	Q15233
PPP2R4	Q15257
PWP2	Q15269
RABEP1	Q15276
RALBP1	Q15311
ZMYND11	Q15326
LRRC41	Q15345
TMED2	Q15363
PCBP1	Q15365
PCBP2	Q15366
TCEB1	Q15369
TCEB2	Q15370
UBE3C	Q15386
TOMM20	Q15388
MTFR1	Q15390
SF3B3	Q15393
SF3B4	Q15427
PPP1R7	Q15435
SEC23A	Q15436
SF3A1	Q15459
SKIV2L	Q15477
SPHAR	Q15513
SURF1	Q15526
TAF13	Q15543
TAF11	Q15544
TERF2	Q15554
MAPRE2	Q15555
TSN	Q15631
SF1	Q15637
ZNHIT3	Q15649
TRIP4	Q15650
HMGN3	Q15651
NFKBIB	Q15653
ZNF174	Q15697
ELAVL1	Q15717
ELF2	Q15723
NSDHL	Q15738
TAB1	Q15750
MLF2	Q15773
NCOA1	Q15788
SMAD2	Q15796
TBCE	Q15813
TBCC	Q15814
UBE2V2	Q15819
STK11	Q15831
VAMP3	Q15836
NEDD8	Q15843
USF2	Q15853
ATP6AP1	Q15904
VPS72	Q15906
RAB11B	Q15907
ZBTB6	Q15916
UAP1	Q16222
NFE2L2	Q16236
E2F4	Q16254
PDCD2	Q16342
PSMD5	Q16401
TAF12	Q16514
DDB1	Q16531
PPP2R5E	Q16537
MRPL23	Q16540
CDC37	Q16543
PCSK7	Q16549
SNRNP35	Q16560
SYPL1	Q16563
RBBP7	Q16576
TAF9	Q16594
FXN	Q16595
SRSF7	Q16629
CPSF6	Q16630
TAZ	Q16635
NFIL3	Q16649
MAPK6	Q16659
NDUFA5	Q16718
CLPP	Q16740
CCBL1	Q16773
GUK1	Q16774
HAGH	Q16775
NDUFA9	Q16795
HADH	Q16836
ST3GAL2	Q16842
UGP2	Q16851
ATP6V1F	Q16864
TXNRD1	Q16881
IMMT	Q16891
TIGD6	Q17RP2
ZSWIM7	Q19AV6
HNRNPUL2	Q1KMD3
MSMP	Q1L6U9
INF2	Q27J81
PDS5A	Q29RF7
C17orf58	Q2M2W7
ZNF181	Q2M3W8
TSR1	Q2NL82
LOC729020	Q2QD12
IAH1	Q2TAA2
ALG11	Q2TAA5
QRICH1	Q2TAL8
SMU1	Q2TAY7
ATG2A	Q2TAZ0
CTU2	Q2VPK5
C18orf21	Q32NC0
GFOD2	Q3B7J2
C2orf76	Q3KRA6
ADPRM	Q3LIE5
ITPRIPL2	Q3MIP1
PIGY	Q3MUY2
TBRG1	Q3YBR2
VMA21	Q3ZAQ7
TIMM50	Q3ZCQ8
LGALSL	Q3ZCW2
ZNF672	Q499Z4
GLYR1	Q49A26
MTERFD3	Q49AM1
CRY2	Q49AN0
COX19	Q49B96
SUV420H1	Q4FZB7
VPS26B	Q4G0F5
C16orf91	Q4G0I0
LARP7	Q4G0J3
KCTD21	Q4G0X4
ACSF3	Q4G176
TPRN	Q4KMQ1
ANO6	Q4KMQ2
MRPL51	Q4U2R6
GRIPAP1	Q4V328
C14orf28	Q4W4Y0
TMEM259	Q4ZIN3
MIDN	Q504T8
LRRC24	Q50LG9
LUZP6	Q538Z0
TIGD5	Q53EQ6
CRTC2	Q53ET0
C17orf85	Q53F19
MPPE1	Q53F39
C11orf73	Q53FT3
ORMDL2	Q53FV1
ZNF394	Q53GI3
HSD17B12	Q53GQ0
GLE1	Q53GS7
USP39	Q53GS9
TRMT12	Q53H54
AKIRIN2	Q53H80
CCDC92	Q53HC0
UNC50	Q53HI1
SMUG1	Q53HV7
ANKRD39	Q53RE8
WTH3DI	Q53S08
BOLA3	Q53S33
TMEM177	Q53S58
HS1BP3	Q53T59
WDR81	Q562E7
MPV17L2	Q567V2
EAPP	Q56P03
TMEM41B	Q5BJD5
TMEM128	Q5BJH2
YIF1B	Q5BJH7
ZNF326	Q5BKZ1
NOM1	Q5C9Z4
ZNF805	Q5CZA5
DALRD3	Q5D0E6
PDZD11	Q5EBL8
DNAJC21	Q5F1R6
HERC4	Q5GLZ8
PIGG	Q5H8A4
PPP6R3	Q5H9R7
COQ5	Q5HYK3
C6orf226	Q5I0X4
TTC32	Q5I0X7
EMC4	Q5J8M3
EARS2	Q5JPH6
C3orf38	Q5JPI3
MIA3	Q5JRA6
PITRM1	Q5JRX3
PSMG4	Q5JS54
WDR44	Q5JSH3
PRRC2B	Q5JSZ5
TJAP1	Q5JTD0
COA6	Q5JTJ3
AARS2	Q5JTZ9
PCID2	Q5JVF3
ZNF506	Q5JVG8
UBE2NL	Q5JXB2
MIIP	Q5JXC2
SMEK2	Q5MIZ7
WDR45B	Q5MNZ6
SAMD4B	Q5PRF9
DNTTIP2	Q5QJE6
DCAF10	Q5QP82
COX20	Q5RI15
C6orf136	Q5SQH8
SNAP47	Q5SQN1
HIATL1	Q5SR56
HP1BP3	Q5SSJ5
VARS2	Q5ST30
PPP1R15B	Q5SWA1
TMEM69	Q5SWH9
DNLZ	Q5SXM8
FAM120AOS	Q5T036
TPRG1L	Q5T0D9
CC2D1B	Q5T0F9
RARS2	Q5T160
DDX59	Q5T1V6
ZC3H13	Q5T200
C10orf76	Q5T2E6
TMEM63B	Q5T3F8
GPATCH4	Q5T3I0
HECTD3	Q5T447
ZFYVE27	Q5T4F4
MRPL2	Q5T653
DCAF12	Q5T6F0
C9orf64	Q5T6V5
TSTD2	Q5T7W7
ACBD5	Q5T8D3
RNF187	Q5TA31
CPSF3L	Q5TA45
GLTPD1	Q5TA50
UTP14C	Q5TAP6
DCAF8	Q5TAQ9
ZCCHC11	Q5TAX3
KIAA1919	Q5TF39
NT5DC1	Q5TFE4
MINOS1	Q5TGZ0
EMC10	Q5UCC4
VPS53	Q5VIR6
STRIP1	Q5VSL9
FAM108B1	Q5VST6
RNF220	Q5VTB9
C6orf57	Q5VUM1
ZNF691	Q5VV52
GPR107	Q5VW38
FAM208B	Q5VWN6
MBNL2	Q5VZF2
FAM160B1	Q5W0V3
SPRYD7	Q5W111
PAPD7	Q5XG87
LYSMD4	Q5XG99
C19orf70	Q5XKP0
FAM104B	Q5XKR9
PCNXL4	Q63HM2
WDR25	Q64LD2
NARG2	Q659A1
TBC1D9B	Q66K14
E4F1	Q66K89
PPP2R2D	Q66LE6
ARL6IP4	Q66PJ3
ATG16L1	Q676U5
DIEXF	Q68CQ4
GLT8D1	Q68CQ7
HAUS3	Q68CZ6
SPTY2D1	Q68D10
INTS3	Q68E01
TMEM42	Q69YG0
KIAA1429	Q69YN4
SPECC1L	Q69YQ0
ZNF518A	Q6AHZ1
ZNF787	Q6DD87
RPL7L1	Q6DKI1
TTC19	Q6DKK2
ZFAND6	Q6FIF0
PTRHD1	Q6GMV3
THOC7	Q6I9Y2
ELP2	Q6IA86
LAMTOR1	Q6IAA8
DHRS7B	Q6IAN0
NCAPH2	Q6IBW4
GRAMD4	Q6IC98
DESI1	Q6ICB0
TANGO2	Q6ICL3
SNRNP48	Q6IEG0
MRM1	Q6IN84
SMEK1	Q6IN85
LYRM5	Q6IPR1
ZNF770	Q6IQ21
SDE2	Q6IQ49
EIF5AL1	Q6IS14
NIPBL	Q6KC79
PDE12	Q6L8Q7
LIN54	Q6MZP7
ZNF280D	Q6N043
MFSD5	Q6N075
ALKBH2	Q6NS38
REEP3	Q6NUK4
RINT1	Q6NUQ1
TMEM214	Q6NUQ4
TCTN3	Q6NUS6
MFSD12	Q6NUT3
C3orf17	Q6NW34
ARMC6	Q6NXE6
TTI2	Q6NXR4
TAPT1	Q6NXT6
JMJD6	Q6NYC1
MZT2B	Q6NZ67
RPUSD3	Q6P087
MRPL54	Q6P161
LPCAT3	Q6P1A2
SLC48A1	Q6P1K1
PMF1	Q6P1K2
ZNF343	Q6P1L6
MRPL14	Q6P1L8
SLC27A4	Q6P1M0
ARMCX5	Q6P1M9
CC2D1A	Q6P1N0
TATDN1	Q6P1N9
LETMD1	Q6P1Q0
METTL2B	Q6P1Q9
C8orf82	Q6P1X6
EDC4	Q6P2E9
PRPF8	Q6P2Q9
FBXO42	Q6P3S6
SCYL2	Q6P3W7
CASC4	Q6P4E1
FAM173B	Q6P4H8
WDR73	Q6P4I2
MZT2A	Q6P582
FAHD1	Q6P587
RNASEK	Q6P5S7
ALKBH5	Q6P6C2
TMEM81	Q6P7N7
RSBN1L	Q6PCB5
AAGAB	Q6PD74
FAM199X	Q6PEV8
TTC37	Q6PGP7
ULK3	Q6PHR2
DARS2	Q6PI48
TTC33	Q6PID6
CCDC174	Q6PII3
FBXO38	Q6PIJ6
PAPD4	Q6PIY7
SPSB3	Q6PJ21
TRIM65	Q6PJ69
BRAT1	Q6PJG6
WDR59	Q6PJI9
CNST	Q6PJW8
CCDC137	Q6PK04
OGFOD3	Q6PK18
TXNDC11	Q6PKC3
LARP1	Q6PKG0
SLC30A9	Q6PML9
TRAF7	Q6Q0C0
BLOC1S3	Q6QNY0
BLOC1S2	Q6QNY1
WDR74	Q6RFH5
SAMD1	Q6SPF0
ZNF322	Q6U7Q0
AFTPH	Q6ULP2
FIP1L1	Q6UN15
ATRAID	Q6UW56
TMEM205	Q6UW68
C11orf83	Q6UW78
LRSAM1	Q6UWE0
TEX261	Q6UWH6
TMCO3	Q6UWJ1
PET117	Q6UWS5
C6orf89	Q6UWU4
DRAM2	Q6UX65
APOOL	Q6UXV4
ATF7IP	Q6VMQ6
DNAJC14	Q6Y2X3
THADA	Q6YHU6
TMEM64	Q6YI46
CYHR1	Q6ZMK1
DEF8	Q6ZN54
ZNF574	Q6ZN55
RNF111	Q6ZNA4
ZNF620	Q6ZNG0
GDPGP1	Q6ZNW5
PQLC2	Q6ZP29
C1orf122	Q6ZSJ8
TPGS1	Q6ZTW0
CCDC149	Q6ZUS6
C11orf57	Q6ZUT1
GTF2H5	Q6ZYL4
SLC25A26	Q70HW3
FRA10AC1	Q70Z53
UBE2R2	Q712K3
LARP4	Q71RC2
TMUB2	Q71RG4
H2AFV	Q71UI9
RPS27L	Q71UM5
NOL8	Q76FK4
SUPT6H	Q7KZ85
COX15	Q7KZN9
DDX46	Q7L014
TRMT10C	Q7L0Y3
BZW1	Q7L1Q6
ABHD13	Q7L211
DHX30	Q7L2E3
EIF3M	Q7L2H7
MEPCE	Q7L2J0
CDC37L1	Q7L3B6
C22orf29	Q7L3V2
FAM73B	Q7L4E1
RSRC2	Q7L4I2
RRAGA	Q7L523
CYFIP1	Q7L576
GET4	Q7L5D6
COPS6	Q7L5N1
MAEA	Q7L5Y9
EPM2AIP1	Q7L775
DHX32	Q7L7V1
SH3BP5L	Q7L8J4
FASTKD5	Q7L8L6
CXXC5	Q7LFL8
HS2ST1	Q7LGA3
DYM	Q7RTS9
PHF5A	Q7RTV0
APTX	Q7Z2E3
TRMT1L	Q7Z2T5
MRPL21	Q7Z2W9
EFTUD1	Q7Z2Z2
TRAPPC11	Q7Z392
NUP54	Q7Z3B4
LYSMD3	Q7Z3D4
C16orf62	Q7Z3J2
SLC46A3	Q7Z3Q1
MON2	Q7Z3U7
UBE3B	Q7Z3V4
DENND4A	Q7Z401
PEX26	Q7Z412
NUFIP2	Q7Z417
SZRD1	Q7Z422
GRINA	Q7Z429
MAVS	Q7Z434
CYP2U1	Q7Z449
DHX29	Q7Z478
COMMD6	Q7Z4G1
C6orf120	Q7Z4R8
ZNF438	Q7Z4V0
GOLGA7	Q7Z5G4
WAPAL	Q7Z5K2
IRF2BP2	Q7Z5L9
KCTD20	Q7Z5Y7
ADCK2	Q7Z695
C5orf24	Q7Z6I8
THAP5	Q7Z6K1
RABEPK	Q7Z6M1
MTERFD2	Q7Z6M4
HUWE1	Q7Z6Z7
YTHDF3	Q7Z739
SLC35E3	Q7Z769
PIGW	Q7Z7B1
TAF8	Q7Z7C8
UBE2Q1	Q7Z7E8
MRPL55	Q7Z7F7
TMED4	Q7Z7H5
MRPL10	Q7Z7H8
CMC1	Q7Z7K0
TMEM179B	Q7Z7N9
PCGF5	Q86SE9
SDCCAG8	Q86SQ7
GLRX5	Q86SX6
TRAPPC6B	Q86SZ2
TMEM55B	Q86T03
C6orf1	Q86T20
ZBTB33	Q86T24
PATL1	Q86TB9
TBC1D1	Q86TI0
ATG4D	Q86TL0
SYVN1	Q86TM6
TRPT1	Q86TN4
PRUNE	Q86TP1
MRPL52	Q86TS9
SETD3	Q86TU7
TTC7B	Q86TV6
RBM23	Q86U06
NOP9	Q86U38
METTL3	Q86U44
YRDC	Q86U90
RPAIN	Q86UA6
MTDH	Q86UE4
ZNF598	Q86UK7
AGPAT6	Q86UL3
KTN1	Q86UP2
FAM35A	Q86V20
ADIPOR2	Q86V24
ALYREF	Q86V81
FAM160B2	Q86V87
MDP1	Q86V88
MYPOP	Q86VE0
ZNF410	Q86VK4
ZC3H18	Q86VM9
VPS36	Q86VN1
TAX1BP1	Q86VP1
FAM134C	Q86VR2
COMMD7	Q86VX2
MON1A	Q86VX9
WDR5B	Q86VZ2
SGMS1	Q86VZ5
TPRA1	Q86W33
METTL16	Q86W50
ANKRD46	Q86W74
LONP2	Q86WA8
OSTM1	Q86WC4
CHD1L	Q86WJ1
GPBP1	Q86WP2
NR2C2AP	Q86WQ0
CCDC25	Q86WR0
COA5	Q86WW8
RPS19BP1	Q86WX3
LRRC28	Q86X40
NIT1	Q86X76
CIR1	Q86X95
METTL23	Q86XA0
HEATR5A	Q86XA9
FBXO11	Q86XK2
DDX42	Q86XP3
CEP57	Q86XR8
TMEM219	Q86XT9
VRK2	Q86Y07
NDUFA11	Q86Y39
HEATR2	Q86Y56
PTRH1	Q86Y79
PTOV1	Q86YD1
GATAD2A	Q86YP4
MIB1	Q86YT6
HPS6	Q86YV9
IRF2BP1	Q8IU81
TICAM1	Q8IUC6
SIAH1	Q8IUQ4
TRAPPC5	Q8IUR0
ARMC8	Q8IUR7
PLD3	Q8IV08
CCDC71	Q8IV32
VRK3	Q8IV63
FOXP4	Q8IVH2
MMAA	Q8IVH4
CCDC50	Q8IVM0
MCAT	Q8IVS2
MAPKAPK5	Q8IW41
CARKD	Q8IW45
WDR75	Q8IWA0
MFN1	Q8IWA4
TEX2	Q8IWB9
DCUN1D3	Q8IWE4
HSCB	Q8IWL3
ZC3H7A	Q8IWR0
ZBTB8OS	Q8IWT0
LRRC8A	Q8IWT6
UBR2	Q8IWV8
CHERP	Q8IWX8
ZSCAN29	Q8IWY8
ANKHD1	Q8IWZ3
SUGP1	Q8IWZ8
UEVLD	Q8IX04
CCAR1	Q8IX12
FAM178A	Q8IX21
DNAJC10	Q8IXB1
NELFCD	Q8IXH7
RHOT2	Q8IXI1
RHOT1	Q8IXI2
SIRT2	Q8IXJ6
ASXL1	Q8IXJ9
PHC2	Q8IXK0
C17orf49	Q8IXM2
MRPL41	Q8IXM3
KIAA1704	Q8IXQ4
PARP9	Q8IXQ6
METTL20	Q8IXQ9
RBM12B	Q8IXT5
ZC3H3	Q8IXZ2
PNPLA6	Q8IY17
SMC5	Q8IY18
KBTBD2	Q8IY47
YAF2	Q8IY57
FTSJ3	Q8IY81
TMEM192	Q8IY95
SRRM1	Q8IYB3
SMAP1	Q8IYB5
DIS3L2	Q8IYB7
SUPV3L1	Q8IYB8
GSPT2	Q8IYD1
ZZZ3	Q8IYH5
EXOC8	Q8IYI6
C1orf174	Q8IYL3
KIAA2013	Q8IYS2
FTSJD1	Q8IYT2
EFHA1	Q8IYU8
PHACTR4	Q8IZ21
TRMT2A	Q8IZ69
KIAA0319L	Q8IZA0
SCYL3	Q8IZE3
PELP1	Q8IZL8
ZNF654	Q8IZM8
ZDHHC14	Q8IZN3
ABI1	Q8IZP0
C11orf31	Q8IZQ5
C8orf59	Q8N0T1
RBFA	Q8N0V3
FUK	Q8N0W3
ZNF444	Q8N0Y2
PUSL1	Q8N0Z8
MIER1	Q8N108
FAM177A1	Q8N128
ORMDL3	Q8N138
KIAA1967	Q8N163
NDUFAF2	Q8N183
FAM58A	Q8N1B3
VPS52	Q8N1B4
ZNF687	Q8N1G0
REXO1	Q8N1G1
FTSJD2	Q8N1G2
LRRC47	Q8N1G4
CRIPAK	Q8N1N5
INTS1	Q8N201
ARMC10	Q8N2F6
GHDC	Q8N2G8
SYS1	Q8N2H4
ABHD12	Q8N2K0
UBE2J2	Q8N2K1
TMEM256	Q8N2U0
PQLC1	Q8N2U9
CCDC23	Q8N300
AGGF1	Q8N302
PGBD3	Q8N328
ASCC3	Q8N3C0
MICALL1	Q8N3F8
ZNF664	Q8N3J9
TCAIM	Q8N3R3
GTPBP8	Q8N3Z3
ZCCHC7	Q8N3Z6
LNX2	Q8N448
D2HGDH	Q8N465
PNKD	Q8N490
TOMM5	Q8N4H5
KLHL36	Q8N4N3
HDDC3	Q8N4P3
ZADH2	Q8N4Q0
CHCHD4	Q8N4Q1
CBR4	Q8N4T8
TMEM199	Q8N511
FBXL6	Q8N531
OGFOD1	Q8N543
ZCCHC9	Q8N567
MPND	Q8N594
ZGPAT	Q8N5A5
DTWD1	Q8N5C7
WDTC1	Q8N5D0
NKAP	Q8N5F7
C4orf52	Q8N5G0
TMEM57	Q8N5G2
C12orf45	Q8N5I9
FAM63A	Q8N5J2
CISD2	Q8N5K1
RPP25L	Q8N5L8
ATPAF2	Q8N5M1
TTC9C	Q8N5M4
JAGN1	Q8N5M9
MRPL50	Q8N5N7
RNF10	Q8N5U6
MSL3	Q8N5Y2
FAM160A2	Q8N612
LZTR1	Q8N653
COMMD1	Q8N668
CPSF7	Q8N684
SLC15A4	Q8N697
CSGALNACT2	Q8N6G5
ARFGAP2	Q8N6H7
EID2	Q8N6I1
TMEM251	Q8N6I4
C1orf52	Q8N6N3
METTL13	Q8N6R0
SIRT6	Q8N6T7
ZNF655	Q8N720
CSNK1A1L	Q8N752
EMC1	Q8N766
PAF1	Q8N7H5
ARIH2OS	Q8N7S6
UBR7	Q8N806
ZNF513	Q8N8E2
ZNF491	Q8N8L2
NIPA2	Q8N8Q9
C2orf69	Q8N8R5
ARL14EP	Q8N8R7
MRPL43	Q8N983
C12orf29	Q8N999
ASCC1	Q8N9N2
LRRC57	Q8N9N7
EIF1AD	Q8N9N8
SREK1IP1	Q8N9Q2
ZNF579	Q8NAF0
GTDC2	Q8NAT1
USP38	Q8NB14
UBAC2	Q8NBM4
TMEM87A	Q8NBN3
ATAD1	Q8NBU5
INO80E	Q8NBZ0
UXS1	Q8NBZ7
FAM134A	Q8NC44
SERBP1	Q8NC51
C5orf15	Q8NC54
LEMD2	Q8NC56
NOA1	Q8NC60
KCTD6	Q8NC69
NECAP1	Q8NC96
FAM98A	Q8NCA5
NFATC2IP	Q8NCF5
DAGLB	Q8NCG7
SPRYD3	Q8NCJ5
ZBTB44	Q8NCP5
APOA1BP	Q8NCW5
SMG8	Q8ND04
LSM14A	Q8ND56
CCNY	Q8ND76
MAPK1IP1L	Q8NDC0
RBM15B	Q8NDT2
TNRC6A	Q8NDV7
ZNF740	Q8NDX6
C3orf58	Q8NDZ4
CNNM3	Q8NE01
ABCF1	Q8NE71
MCU	Q8NE86
PIK3C3	Q8NEB9
NGDN	Q8NEJ9
MCPH1	Q8NEM0
PDZD8	Q8NEN9
APPL2	Q8NEU8
CSNK2A3	Q8NEV1
PPHLN1	Q8NEY8
VPS37A	Q8NEZ2
FBXO22	Q8NEZ5
ZNF397	Q8NF99
FLAD1	Q8NFF5
FLCN	Q8NFG4
TOR1AIP2	Q8NFQ8
CMAS	Q8NFW8
FBXO18	Q8NFZ0
LINS	Q8NG48
ATL2	Q8NHH9
PLBD2	Q8NHP8
RFWD2	Q8NHY2
MCFD2	Q8NI22
WDR36	Q8NI36
RP9	Q8TA86
JOSD2	Q8TAC2
SLC30A5	Q8TAD4
GADD45GIP1	Q8TAE8
MPLKIP	Q8TAP9
NPLOC4	Q8TAT6
UBALD1	Q8TB05
ABHD4	Q8TB40
SLC35B2	Q8TB61
PUM2	Q8TB72
ITFG1	Q8TB96
GOLGA5	Q8TBA6
UBA3	Q8TBC4
BAHD1	Q8TBE0
ZCRB1	Q8TBF4
PIGX	Q8TBF5
SETD6	Q8TBK2
ZCCHC10	Q8TBK6
FAM174A	Q8TBP5
WDR20	Q8TBZ3
TBC1D15	Q8TC07
MRPL30	Q8TCC3
C18orf32	Q8TCD1
NT5C	Q8TCD5
ZFAND1	Q8TCF1
STT3B	Q8TCJ2
ZNF507	Q8TCN5
FAM200A	Q8TCP9
PNPT1	Q8TCS8
CERK	Q8TCT0
SPPL3	Q8TCT6
SPPL2B	Q8TCT7
URGCP	Q8TCY9
CD99L2	Q8TCZ2
ZNF398	Q8TD17
NEK9	Q8TD19
DDX54	Q8TDD1
BRIX1	Q8TDN6
RNASEH2C	Q8TDP1
RB1CC1	Q8TDY2
CXorf40A	Q8TE69
NSUN6	Q8TEA1
HARS2	Q8TEA8
DCAF11	Q8TEB1
RHBDD1	Q8TEB9
UTP15	Q8TED0
DENND1A	Q8TEH3
TRPC4AP	Q8TEL6
ARHGEF40	Q8TER5
USP33	Q8TEY7
PNISR	Q8TF01
PPP4R1	Q8TF05
ZNF721	Q8TF20
ZNF526	Q8TF50
ZNF384	Q8TF68
SETD7	Q8WTS6
THAP3	Q8WTV1
COG1	Q8WTW3
NPRL2	Q8WTW4
U2AF1L4	Q8WU68
SCFD2	Q8WU76
ZC3H15	Q8WU90
PPIL4	Q8WUA2
GTF3C2	Q8WUA4
TBC1D22A	Q8WUA7
PHF10	Q8WUB8
RAB2B	Q8WUD1
CCDC12	Q8WUD4
CHPT1	Q8WUD6
CHURC1	Q8WUH1
C12orf23	Q8WUH6
CYB5D2	Q8WUJ1
PTPMT1	Q8WUK0
NUP133	Q8WUM0
PDCD6IP	Q8WUM4
SLC20A1	Q8WUM9
BRK1	Q8WUW1
NSMCE1	Q8WV22
ZNF480	Q8WV37
TRIM41	Q8WV44
SLC35F5	Q8WV83
MITD1	Q8WV92
ZFAND2B	Q8WV99
HEXDC	Q8WVB3
DCAKD	Q8WVC6
RNF141	Q8WVD5
NUDCD2	Q8WVJ2
SNRNP27	Q8WVK2
TFB1M	Q8WVM0
SCFD1	Q8WVM8
CANT1	Q8WVQ1
TRAPPC12	Q8WVT3
HNRPLL	Q8WVV9
C4orf3	Q8WVX3
KBTBD7	Q8WVZ9
TSEN15	Q8WW01
C2orf47	Q8WWC4
ATXN2L	Q8WWM7
PRPF31	Q8WWY3
NELFB	Q8WX92
METTL21A	Q8WXB1
MYEOV2	Q8WXC6
PSPC1	Q8WXF1
SOCS4	Q8WXH5
GATAD2B	Q8WXI9
THAP4	Q8WY91
CTNNBL1	Q8WYA6
RIN2	Q8WYP3
OVCA2	Q8WZ82
POMGNT1	Q8WZA1
IRGQ	Q8WZA9
DDB2	Q92466
DDX1	Q92499
SLC39A7	Q92504
H1FX	Q92522
PSMF1	Q92530
PIGC	Q92535
GBF1	Q92538
SMG7	Q92540
NCSTN	Q92542
SNX19	Q92543
TM9SF4	Q92544
TMEM131	Q92545
RGP1	Q92546
IP6K1	Q92551
MRPS27	Q92552
BAP1	Q92560
DCUN1D4	Q92564
AP3S1	Q92572
UBXN4	Q92575
RQCD1	Q92600
ZNF592	Q92610
DHX38	Q92620
KIAA0232	Q92628
PIGK	Q92643
GTF3A	Q92664
MRPS31	Q92665
RSC1A1	Q92681
ANP32B	Q92688
RABGGTA	Q92696
PRCC	Q92733
TFG	Q92734
ARPC1A	Q92747
GTF2H4	Q92759
HDAC2	Q92769
STAM	Q92783
SYMPK	Q92797
N4BP2L2	Q92802
TAF15	Q92804
GOLGA1	Q92805
KAT2B	Q92831
DDX17	Q92841
BCL2L2-PABPN1	Q92843
PABPN1	Q92843
TANK	Q92844
RAD50	Q92878
CELF1	Q92879
UFD1L	Q92890
GLG1	Q92896
UPF1	Q92900
HPS1	Q92902
COPS5	Q92905
GPKOW	Q92917
BAD	Q92934
KHSRP	Q92945
GCDH	Q92947
SNAPC3	Q92966
PEX13	Q92968
TNPO1	Q92973
EMG1	Q92979
NINJ1	Q92982
CLP1	Q92989
KAT5	Q92993
BRF1	Q92994
DVL3	Q92997
USP9X	Q93008
USP7	Q93009
CUL5	Q93034
EXT2	Q93063
TATDN2	Q93075
PHKB	Q93100
TSR2	Q969E8
GTF3C6	Q969F1
SMARCE1	Q969G3
RFK	Q969G6
FBXW7	Q969H0
POP5	Q969H6
RNF34	Q969K3
LSM10	Q969L4
YIPF5	Q969M3
UBE2F	Q969M7
PIGT	Q969N2
RPL36AL	Q969Q0
PPP2R3C	Q969Q6
L3MBTL2	Q969R5
NEIL2	Q969S2
ZNF622	Q969S3
TMEM203	Q969S6
UBE2E3	Q969T4
WBP2	Q969T9
FBXW5	Q969U6
PSMG2	Q969U7
NCLN	Q969V3
MUL1	Q969V5
SPTSSA	Q969W0
ZDHHC16	Q969W1
TMBIM1	Q969X1
ST6GALNAC6	Q969X2
CIRH1A	Q969X6
TBRG4	Q969Z0
FAM162A	Q96A26
CCDC47	Q96A33
MRPL24	Q96A35
SLC25A28	Q96A46
SYAP1	Q96A49
ADIPOR1	Q96A54
TMEM230	Q96A57
EXOC4	Q96A65
KIAA1191	Q96A73
RFT1	Q96AA3
ISOC2	Q96AB3
NTAN1	Q96AB6
FUBP1	Q96AE4
TTC17	Q96AE7
SLC25A46	Q96AG3
LRRC59	Q96AG4
VTI1A	Q96AJ9
CCDC90A	Q96AQ8
KIAA1143	Q96AT1
VPS33A	Q96AX1
UBE2W	Q96B02
C18orf25	Q96B23
EXOSC8	Q96B26
AKT1S1	Q96B36
TMEM18	Q96B42
TOMM6	Q96B49
TMEM186	Q96B77
NACC2	Q96BF6
RNF25	Q96BH1
APH1A	Q96BI3
PINX1	Q96BK5
ARL8A	Q96BM9
TADA1	Q96BN2
FAM149B1	Q96BN6
CHCHD1	Q96BP2
PPWD1	Q96BP3
CCDC127	Q96BQ5
SELRC1	Q96BR5
CENPT	Q96BT3
UPRT	Q96BW1
TAMM41	Q96BW9
ATG2B	Q96BY7
TMEM66	Q96BY9
LENG1	Q96BZ8
TBC1D20	Q96BZ9
FAM136A	Q96C01
ARMC5	Q96C12
PYCR2	Q96C36
SDCCAG3	Q96C92
INTS12	Q96CB8
GCC1	Q96CN9
FAF2	Q96CS3
CCDC124	Q96CT7
FOXRED1	Q96CU9
AP2M1	Q96CW1
NMD3	Q96D46
ADCK4	Q96D53
REPS1	Q96D71
DNAJC19	Q96DA6
RMDN1	Q96DB5
ANAPC16	Q96DE5
CXorf40B	Q96DE9
DGCR14	Q96DF8
SNRNP40	Q96DI7
C18orf8	Q96DM3
